,tag,center,arch_type,eng_type,block,zone,cut,demo,projmask,blob2,demo-2,cut_mask,blob-mask
mfb_sw_panel_0_29_1,A-0,3613,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_29_2,A-0,3764,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_30_1,A-0,3615,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_30_2,A-0,3766,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_31_1,A-0,3617,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_31_2,A-0,3768,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_32_1,A-0,3619,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_32_2,A-0,3770,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_33_1,A-0,3621,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_33_2,A-0,3772,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_34_1,A-0,3623,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_34_2,A-0,3774,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_35_1,A-0,3625,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_35_2,A-0,3776,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_36_1,A-0,3627,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_36_2,A-0,3778,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_37_1,A-0,3629,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_37_2,A-0,3780,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_38_1,A-0,3631,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_38_2,A-0,3782,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_39_1,A-0,3633,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_39_2,A-0,3784,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_40_1,A-0,3635,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_40_2,A-0,3786,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_41_1,A-0,3637,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_41_2,A-0,3788,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_42_1,A-0,3639,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_42_2,A-0,3790,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_43_1,A-0,3641,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_43_2,A-0,3792,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_44_1,A-0,3643,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_44_2,A-0,3794,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_45_1,A-0,3645,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_45_2,A-0,3796,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_46_1,A-0,3647,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_46_2,A-0,3798,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_47_1,A-0,3649,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_47_2,A-0,3800,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_48_1,A-0,3651,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_48_2,A-0,3802,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_49_1,A-0,3653,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_49_2,A-0,3804,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_50_1,A-0,3655,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_50_2,A-0,3806,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_51_1,A-0,3657,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_51_2,A-0,3808,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_52_1,A-0,3659,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_52_2,A-0,3810,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_53_1,A-0,3661,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_53_2,A-0,3812,A,0,SW,L2,0,2,2,2,2,0,2
